timestamp_utc,current_replicas,desired_replicas,cpu
2026-06-28T14:58:50Z,1,1,0
2026-06-28T14:58:56Z,1,1,0
2026-06-28T14:59:01Z,1,1,0
2026-06-28T14:59:07Z,1,1,0
2026-06-28T14:59:12Z,1,1,0
2026-06-28T14:59:18Z,1,1,0
2026-06-28T14:59:23Z,1,1,0
2026-06-28T14:59:29Z,1,3,107
2026-06-28T14:59:34Z,1,3,107
2026-06-28T14:59:40Z,3,3,107
2026-06-28T14:59:53Z,3,3,29
2026-06-28T15:00:06Z,3,3,0
2026-06-28T15:00:18Z,3,3,0
2026-06-28T15:00:31Z,3,3,0
2026-06-28T15:00:43Z,3,3,0
2026-06-28T15:00:58Z,3,1,0
2026-06-28T15:01:10Z,1,1,0
